Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
10013;Alibert - Jemmapes;OUI;0;52;7;2;5;OUI;OUI;2025-04-17T15:42:23+00:00;48.871044051984, 2.3661044619878;Paris;75056;
8038;François 1er - Montaigne;OUI;3;17;35;25;10;OUI;OUI;2025-04-17T15:41:47+00:00;48.866887649978, 2.3066755757207;Paris;75056;
15026;Bir Hakeim;OUI;0;14;15;10;5;OUI;OUI;2025-04-17T15:41:11+00:00;48.853844054334, 2.289705348222;Paris;75056;
21501;Pont de Suresnes;OUI;0;3;13;10;3;OUI;OUI;2025-04-17T15:41:27+00:00;48.867415092322, 2.2258946679617;Suresnes;92073;
1022;Danielle Casanova - Place Vendôme;OUI;0;28;8;7;1;OUI;OUI;2025-04-17T15:42:47+00:00;48.868266498223, 2.3304839059711;Paris;75056;
5201;Saint-Jacques - Soufflot;OUI;0;10;6;2;4;OUI;OUI;2025-04-17T15:42:23+00:00;48.846280383395, 2.3430785379567;Paris;75056;
19203;Pailleron - Bouret;OUI;0;24;2;0;2;OUI;OUI;2025-04-17T15:42:38+00:00;48.880516995482, 2.3763902374411;Paris;75056;
18206;Albert Kahn - Duhesme;OUI;0;33;2;1;1;OUI;OUI;2025-04-17T15:39:01+00:00;48.895623001056, 2.345815078896;Paris;75056;
17123;Mstislav Rostropovitch - Berthier;OUI;0;17;1;1;0;OUI;OUI;2025-04-17T15:36:35+00:00;48.892120821173975, 2.309234105050564;Paris;75056;
18041;Rochechouart - Martyrs;OUI;0;12;7;0;7;OUI;OUI;2025-04-17T15:41:58+00:00;48.882193779572, 2.3405495658517;Paris;75056;
6001;Institut de France;OUI;0;11;5;5;0;OUI;OUI;2025-04-17T15:41:49+00:00;48.857615678565, 2.3358313530377;Paris;75056;
11102;Alexandre Dumas - Voltaire;OUI;0;53;4;1;3;OUI;OUI;2025-04-17T15:40:45+00:00;48.852888670365, 2.3891476408096;Paris;75056;
18203;Lamarck - Saint-Ouen;OUI;0;40;0;0;0;NON;NON;2025-04-17T15:33:01+00:00;48.891334555236, 2.3272445342326;Paris;75056;
21213;Vanne - Général de Gaulle;OUI;0;22;1;0;1;OUI;OUI;2025-04-17T15:37:53+00:00;48.815007, 2.328318;Montrouge;92049;
32001;Proudhon - Président Wilson;OUI;0;19;11;7;4;OUI;OUI;2025-04-17T15:42:24+00:00;48.906442763495, 2.3584905266762;Saint-Denis;93066;
11009;Boulets - Voltaire;OUI;0;23;1;0;1;OUI;OUI;2025-04-17T15:41:24+00:00;48.85218705621, 2.3890301585197;Paris;75056;
42004;Westermeyer - Paul Vaillant-Couturier;OUI;0;12;16;13;3;OUI;OUI;2025-04-17T15:39:29+00:00;48.819116181578764, 2.3966637253761296;Ivry-sur-Seine;94041;
15060;Place de la Montagne du Goulet;OUI;5;5;15;13;2;OUI;OUI;2025-04-17T15:41:34+00:00;48.8443415, 2.2773844;Paris;75056;
15122;Place Charles Vallin;OUI;0;22;3;0;3;OUI;OUI;2025-04-17T15:41:55+00:00;48.835523812041, 2.3025986552238;Paris;75056;
11011;Richard Lenoir - Voltaire;OUI;0;18;5;4;1;OUI;OUI;2025-04-17T15:40:19+00:00;48.86164273878, 2.3727491497993;Paris;75056;
33019;Madeleine Vionnet;OUI;2;30;10;5;5;OUI;OUI;2025-04-17T15:40:59+00:00;48.902519074064, 2.3740895837545;Aubervilliers;93001;
7111;Ecole Militaire - Place Joffre;OUI;0;15;11;8;3;OUI;OUI;2025-04-17T15:41:47+00:00;48.852060203583, 2.3017993569374;Paris;75056;
40002;Bleuets - Bordières;OUI;0;12;9;5;4;OUI;OUI;2025-04-17T15:42:39+00:00;48.802117531472, 2.4543687905029;Créteil;94028;
15105;Fédération - Suffren;OUI;0;7;18;12;6;OUI;OUI;2025-04-17T15:42:47+00:00;48.852828153442, 2.2978776320815;Paris;75056;
18043;Clichy - Place Blanche;OUI;0;10;10;2;8;OUI;OUI;2025-04-17T15:40:39+00:00;48.883601088297, 2.3332237824798;Paris;75056;
18205;Mauroy - Cheminots;OUI;0;25;6;1;5;OUI;OUI;2025-04-17T15:42:18+00:00;48.897715198403, 2.357895075822;Paris;75056;
21302;Aristide Briand - Place de la Résistance;OUI;0;7;15;12;3;OUI;OUI;2025-04-17T15:41:15+00:00;48.82124248401006, 2.2511002421379094;Issy-les-Moulineaux;92040;
9025;Taitbout - Châteaudun;OUI;2;31;23;21;2;OUI;OUI;2025-04-17T15:42:35+00:00;48.876383969379, 2.3353566779335;Paris;75056;
4010;Saint-Antoine Sévigné;OUI;0;3;23;21;2;OUI;OUI;2025-04-17T15:39:49+00:00;48.8550222, 2.3612322;Paris;75056;
7109;Place Joffre - Frédéric le Play;OUI;0;29;9;5;4;OUI;OUI;2025-04-17T15:42:31+00:00;48.853754486938, 2.3044242337346;Paris;75056;
21021;Enfants du Paradis - Peupliers;OUI;0;11;42;36;6;OUI;OUI;2025-04-17T15:41:51+00:00;48.833122686454, 2.2571459412575;Boulogne-Billancourt;92012;
7025;Octave Gréard - Tour Eiffel;OUI;8;4;26;11;15;OUI;OUI;2025-04-17T15:41:26+00:00;48.856502977696, 2.2931787543289;Paris;75056;
4104;Sebastopol - Rambuteau;OUI;1;2;14;9;5;OUI;OUI;2025-04-17T15:38:06+00:00;48.86181809267, 2.3501381278038;Paris;75056;
40010;Haut du Mont-Mesly;OUI;0;6;14;3;11;OUI;OUI;2025-04-17T15:38:09+00:00;48.780191921646, 2.4685737495183;Créteil;94028;
40012;Stade de la Habette;OUI;0;2;15;3;12;OUI;OUI;2025-04-17T15:40:51+00:00;48.774397033806, 2.4668785263921;Créteil;94028;
12107;Diderot - Pierre Bourdan;OUI;0;21;0;0;0;OUI;OUI;2025-04-17T15:41:48+00:00;48.847648620797, 2.3902582749724;Paris;75056;
23011;Bineau - Louise Michel;OUI;0;14;10;8;2;OUI;OUI;2025-04-17T15:41:24+00:00;48.88666162207, 2.2843274474144;Levallois-Perret;92044;
12010;Daumesnil - Picpus;OUI;0;11;9;4;5;OUI;OUI;2025-04-17T15:42:20+00:00;48.8374688, 2.401765;Paris;75056;
26005;Hôtel de Ville d'Asnières sur Seine;OUI;0;21;9;8;1;OUI;OUI;2025-04-17T15:42:30+00:00;48.90999330025577, 2.288238108158112;Asnières-sur-Seine;92004;
40004;Créteil Village;OUI;0;15;7;2;5;OUI;OUI;2025-04-17T15:42:10+00:00;48.79122395576, 2.4642198533952;Créteil;94028;
23703;Gare de Chaville Rive Gauche;OUI;0;13;4;0;4;OUI;OUI;2025-04-17T15:39:45+00:00;48.805160304345, 2.188277207315;Chaville;92022;
40008;Créteil Pompadour;OUI;0;14;27;7;20;OUI;OUI;2025-04-17T15:39:38+00:00;48.773011623355, 2.435166164893;Créteil;94028;
14021;Place de la Porte de Châtillon;OUI;0;55;3;0;3;OUI;OUI;2025-04-17T15:38:14+00:00;48.8242469, 2.3186306;Paris;75056;
